district,date,month,year,dvisitors_2016
Jangaon ,1/10/2016,October,2016,14770
Jangaon ,1/11/2016,November,2016,13210
Jangaon ,1/12/2016,December,2016,12680
Jayashankar Bhoopalpally,1/1/2016,January,2016, 
Jayashankar Bhoopalpally,1/2/2016,February,2016, 
Jayashankar Bhoopalpally,1/3/2016,March,2016, 
Jayashankar Bhoopalpally,1/4/2016,April,2016, 
Jayashankar Bhoopalpally,1/5/2016,May,2016, 
Jayashankar Bhoopalpally,1/6/2016,June,2016, 
Jayashankar Bhoopalpally,1/7/2016,July,2016, 
Jayashankar Bhoopalpally,1/8/2016,August,2016, 
Jayashankar Bhoopalpally,1/9/2016,September,2016, 
Jayashankar Bhoopalpally,1/10/2016,October,2016,76360
Jayashankar Bhoopalpally,1/11/2016,November,2016,81580
Jayashankar Bhoopalpally,1/12/2016,December,2016,85460
Jogulamba Gadwal ,1/1/2016,January,2016, 
Jogulamba Gadwal ,1/2/2016,February,2016, 
Jogulamba Gadwal ,1/3/2016,March,2016, 
Jogulamba Gadwal ,1/4/2016,April,2016, 
Jogulamba Gadwal ,1/5/2016,May,2016, 
Jogulamba Gadwal ,1/6/2016,June,2016, 
Jogulamba Gadwal ,1/7/2016,July,2016, 
Jogulamba Gadwal ,1/8/2016,August,2016, 
Jogulamba Gadwal ,1/9/2016,September,2016, 
Jogulamba Gadwal ,1/10/2016,October,2016,152898
Jogulamba Gadwal ,1/11/2016,November,2016,188170
Jogulamba Gadwal ,1/12/2016,December,2016,182333
Kamareddy ,1/1/2016,January,2016, 
Kamareddy ,1/2/2016,February,2016, 
Kamareddy ,1/3/2016,March,2016, 
Kamareddy ,1/4/2016,April,2016, 
Kamareddy ,1/5/2016,May,2016, 
Kamareddy ,1/6/2016,June,2016, 
Kamareddy ,1/7/2016,July,2016, 
Kamareddy ,1/8/2016,August,2016, 
Kamareddy ,1/9/2016,September,2016, 
Kamareddy ,1/10/2016,October,2016,47
Kamareddy ,1/11/2016,November,2016,38
Kamareddy ,1/12/2016,December,2016,42
Karimnagar ,1/1/2016,January,2016,1984442
Karimnagar ,1/2/2016,February,2016,779960
Karimnagar ,1/3/2016,March,2016,1018399
Karimnagar ,1/4/2016,April,2016,956959
Karimnagar ,1/5/2016,May,2016,1095642
Karimnagar ,1/6/2016,June,2016,914746
Karimnagar ,1/7/2016,July,2016,401047
Karimnagar ,1/8/2016,August,2016,1018399
Karimnagar ,1/9/2016,September,2016,956959
Karimnagar ,1/10/2016,October,2016,13675
Karimnagar ,1/11/2016,November,2016,13350
Karimnagar ,1/12/2016,December,2016,13890
Khammam,1/1/2016,January,2016,651827
Khammam,1/2/2016,February,2016,407533
Khammam,1/3/2016,March,2016,458527
Khammam,1/4/2016,April,2016,971622
Khammam,1/5/2016,May,2016,433994
Khammam,1/6/2016,June,2016,445862
Khammam,1/7/2016,July,2016,414963
Khammam,1/8/2016,August,2016,503654
Khammam,1/9/2016,September,2016,368437
Khammam,1/10/2016,October,2016,121575
Khammam,1/11/2016,November,2016,110634
Khammam,1/12/2016,December,2016,116403
Komaram Bheem Asifabad,1/1/2016,January,2016, 
Komaram Bheem Asifabad,1/2/2016,February,2016, 
Komaram Bheem Asifabad,1/3/2016,March,2016, 
Komaram Bheem Asifabad,1/4/2016,April,2016, 
Komaram Bheem Asifabad,1/5/2016,May,2016, 
Komaram Bheem Asifabad,1/6/2016,June,2016, 
Komaram Bheem Asifabad,1/7/2016,July,2016, 
Komaram Bheem Asifabad,1/8/2016,August,2016, 
Komaram Bheem Asifabad,1/9/2016,September,2016, 
Komaram Bheem Asifabad,1/10/2016,October,2016,0
Komaram Bheem Asifabad,1/11/2016,November,2016,0
Komaram Bheem Asifabad,1/12/2016,December,2016,0
Mahabubabad ,1/1/2016,January,2016, 
Mahabubabad ,1/2/2016,February,2016, 
Mahabubabad ,1/3/2016,March,2016, 
Mahabubabad ,1/4/2016,April,2016, 
Mahabubabad ,1/5/2016,May,2016, 
Mahabubabad ,1/6/2016,June,2016, 
Mahabubabad ,1/7/2016,July,2016, 
Mahabubabad ,1/8/2016,August,2016, 
Mahabubabad ,1/9/2016,September,2016, 
Mahabubabad ,1/10/2016,October,2016,13032
Mahabubabad ,1/11/2016,November,2016,114015
Mahabubabad ,1/12/2016,December,2016,12955
Mahbubnagar,1/1/2016,January,2016,577071
Mahbubnagar,1/2/2016,February,2016,1312068
Mahbubnagar,1/3/2016,March,2016,1731983
Mahbubnagar,1/4/2016,April,2016,622432
Mahbubnagar,1/5/2016,May,2016,571898
Mahbubnagar,1/6/2016,June,2016,561006
Mahbubnagar,1/7/2016,July,2016,562322
Mahbubnagar,1/8/2016,August,2016,1133105
Mahbubnagar,1/9/2016,September,2016,567712
Mahbubnagar,1/10/2016,October,2016,198592
Mahbubnagar,1/11/2016,November,2016,256375
Mahbubnagar,1/12/2016,December,2016,210202
Mancherial,1/1/2016,January,2016, 
Mancherial,1/2/2016,February,2016, 
Mancherial,1/3/2016,March,2016, 
Mancherial,1/4/2016,April,2016, 
Mancherial,1/5/2016,May,2016, 
Mancherial,1/6/2016,June,2016, 
Mancherial,1/7/2016,July,2016, 
Mancherial,1/8/2016,August,2016, 
Mancherial,1/9/2016,September,2016, 
Mancherial,1/10/2016,October,2016,3124
Mancherial,1/11/2016,November,2016,2255
Mancherial,1/12/2016,December,2016,2423
Medak ,1/1/2016,January,2016,92600
Medak ,1/2/2016,February,2016,215000
Medak ,1/3/2016,March,2016,1318000
Medak ,1/4/2016,April,2016,300000
Medak ,1/5/2016,May,2016,198000
Medak ,1/6/2016,June,2016,166700
Medak ,1/7/2016,July,2016,153300
Medak ,1/8/2016,August,2016,216100
Medak ,1/9/2016,September,2016,132600
Medak ,1/10/2016,October,2016,15600
Medak ,1/11/2016,November,2016,132300
Medak ,1/12/2016,December,2016,523000
Medchal ,1/1/2016,January,2016, 
Medchal ,1/2/2016,February,2016, 
Medchal ,1/3/2016,March,2016, 
Medchal ,1/4/2016,April,2016, 
Medchal ,1/5/2016,May,2016, 
Medchal ,1/6/2016,June,2016, 
Medchal ,1/7/2016,July,2016, 
Medchal ,1/8/2016,August,2016, 
Medchal ,1/9/2016,September,2016, 
Medchal ,1/10/2016,October,2016, 
Medchal ,1/11/2016,November,2016, 
Medchal ,1/12/2016,December,2016, 
Nagarkurnool ,1/1/2016,January,2016, 
Nagarkurnool ,1/2/2016,February,2016, 
Nagarkurnool ,1/3/2016,March,2016, 
Nagarkurnool ,1/4/2016,April,2016, 
Nagarkurnool ,1/5/2016,May,2016, 
Nagarkurnool ,1/6/2016,June,2016, 
Nagarkurnool ,1/7/2016,July,2016, 
Nagarkurnool ,1/8/2016,August,2016, 
Nagarkurnool ,1/9/2016,September,2016, 
Nagarkurnool ,1/10/2016,October,2016,201050
Nagarkurnool ,1/11/2016,November,2016,188786
Nagarkurnool ,1/12/2016,December,2016,198637
Nalgonda,1/1/2016,January,2016,566515
Nalgonda,1/2/2016,February,2016,539467
Nalgonda,1/3/2016,March,2016,619462
Nalgonda,1/4/2016,April,2016,601253
Nalgonda,1/5/2016,May,2016,628872
Nalgonda,1/6/2016,June,2016,551239
Nalgonda,1/7/2016,July,2016,582820
Nalgonda,1/8/2016,August,2016,988102
Nalgonda,1/9/2016,September,2016,742402
Nalgonda,1/10/2016,October,2016,3508
Nalgonda,1/11/2016,November,2016,21046
Nalgonda,1/12/2016,December,2016,13775
Nirmal,1/1/2016,January,2016, 
Nirmal,1/2/2016,February,2016, 
Nirmal,1/3/2016,March,2016, 
Nirmal,1/4/2016,April,2016, 
Nirmal,1/5/2016,May,2016, 
Nirmal,1/6/2016,June,2016, 
Nirmal,1/7/2016,July,2016, 
Nirmal,1/8/2016,August,2016, 
Nirmal,1/9/2016,September,2016, 
Nirmal,1/10/2016,October,2016,475955
Nirmal,1/11/2016,November,2016,201388
Nirmal,1/12/2016,December,2016,239267
Nizamabad,1/1/2016,January,2016,576
Nizamabad,1/2/2016,February,2016,869
Nizamabad,1/3/2016,March,2016,408
Nizamabad,1/4/2016,April,2016,476
Nizamabad,1/5/2016,May,2016,554
Nizamabad,1/6/2016,June,2016,367
Nizamabad,1/7/2016,July,2016,644
Nizamabad,1/8/2016,August,2016,589
Nizamabad,1/9/2016,September,2016,553
Nizamabad,1/10/2016,October,2016,434
Nizamabad,1/11/2016,November,2016,617
Nizamabad,1/12/2016,December,2016,355
Peddapalli,1/1/2016,January,2016, 
Peddapalli,1/2/2016,February,2016, 
Peddapalli,1/3/2016,March,2016, 
Peddapalli,1/4/2016,April,2016, 
Peddapalli,1/5/2016,May,2016, 
Peddapalli,1/6/2016,June,2016, 
Peddapalli,1/7/2016,July,2016, 
Peddapalli,1/8/2016,August,2016, 
Peddapalli,1/9/2016,September,2016, 
Peddapalli,1/10/2016,October,2016,950
Peddapalli,1/11/2016,November,2016,1145
Peddapalli,1/12/2016,December,2016,1149
Rajanna Sircilla ,1/1/2016,January,2016, 
Rajanna Sircilla ,1/2/2016,February,2016, 
Rajanna Sircilla ,1/3/2016,March,2016, 
Rajanna Sircilla ,1/4/2016,April,2016, 
Rajanna Sircilla ,1/5/2016,May,2016, 
Rajanna Sircilla ,1/6/2016,June,2016, 
Rajanna Sircilla ,1/7/2016,July,2016, 
Rajanna Sircilla ,1/8/2016,August,2016, 
Rajanna Sircilla ,1/9/2016,September,2016, 
Rajanna Sircilla ,1/10/2016,October,2016,534484
Rajanna Sircilla ,1/11/2016,November,2016,864077
Rajanna Sircilla ,1/12/2016,December,2016,778240
Ranga Reddy,1/1/2016,January,2016, 
Ranga Reddy,1/2/2016,February,2016, 
Ranga Reddy,1/3/2016,March,2016, 
Ranga Reddy,1/4/2016,April,2016, 
Ranga Reddy,1/5/2016,May,2016, 
Ranga Reddy,1/6/2016,June,2016, 
Ranga Reddy,1/7/2016,July,2016, 
Ranga Reddy,1/8/2016,August,2016, 
Ranga Reddy,1/9/2016,September,2016, 
Ranga Reddy,1/10/2016,October,2016, 
Ranga Reddy,1/11/2016,November,2016, 
Ranga Reddy,1/12/2016,December,2016, 
Sangareddy ,1/1/2016,January,2016, 
Sangareddy ,1/2/2016,February,2016, 
Sangareddy ,1/3/2016,March,2016, 
Sangareddy ,1/4/2016,April,2016, 
Sangareddy ,1/5/2016,May,2016, 
Sangareddy ,1/6/2016,June,2016, 
Sangareddy ,1/7/2016,July,2016, 
Sangareddy ,1/8/2016,August,2016, 
Sangareddy ,1/9/2016,September,2016, 
Sangareddy ,1/10/2016,October,2016,274000
Sangareddy ,1/11/2016,November,2016,349000
Sangareddy ,1/12/2016,December,2016,155000
Siddipet,1/1/2016,January,2016, 
Siddipet,1/2/2016,February,2016, 
Siddipet,1/3/2016,March,2016, 
Siddipet,1/4/2016,April,2016, 
Siddipet,1/5/2016,May,2016, 
Siddipet,1/6/2016,June,2016, 
Siddipet,1/7/2016,July,2016, 
Siddipet,1/8/2016,August,2016, 
Siddipet,1/9/2016,September,2016, 
Siddipet,1/10/2016,October,2016,123500
Siddipet,1/11/2016,November,2016,154400
Siddipet,1/12/2016,December,2016,80500
Suryapet,1/1/2016,January,2016, 
Suryapet,1/2/2016,February,2016, 
Suryapet,1/3/2016,March,2016, 
Suryapet,1/4/2016,April,2016, 
Suryapet,1/5/2016,May,2016, 
Suryapet,1/6/2016,June,2016, 
Suryapet,1/7/2016,July,2016, 
Suryapet,1/8/2016,August,2016, 
Suryapet,1/9/2016,September,2016, 
Suryapet,1/10/2016,October,2016,0
Suryapet,1/11/2016,November,2016,0
Suryapet,1/12/2016,December,2016,0
Vikarabad,1/1/2016,January,2016, 
Vikarabad,1/2/2016,February,2016, 
Vikarabad,1/3/2016,March,2016, 
Vikarabad,1/4/2016,April,2016, 
Vikarabad,1/5/2016,May,2016, 
Vikarabad,1/6/2016,June,2016, 
Vikarabad,1/7/2016,July,2016, 
Vikarabad,1/8/2016,August,2016, 
Vikarabad,1/9/2016,September,2016, 
Vikarabad,1/10/2016,October,2016, 
Vikarabad,1/11/2016,November,2016, 
Vikarabad,1/12/2016,December,2016, 
Wanaparthy ,1/1/2016,January,2016, 
Wanaparthy ,1/2/2016,February,2016, 
Wanaparthy ,1/3/2016,March,2016, 
Wanaparthy ,1/4/2016,April,2016, 
Wanaparthy ,1/5/2016,May,2016, 
Wanaparthy ,1/6/2016,June,2016, 
Wanaparthy ,1/7/2016,July,2016, 
Wanaparthy ,1/8/2016,August,2016, 
Wanaparthy ,1/9/2016,September,2016, 
Wanaparthy ,1/10/2016,October,2016,21234
Wanaparthy ,1/11/2016,November,2016,18348
Wanaparthy ,1/12/2016,December,2016,20556
Warangal (Rural),1/1/2016,January,2016, 
Warangal (Rural),1/2/2016,February,2016, 
Warangal (Rural),1/3/2016,March,2016, 
Warangal (Rural),1/4/2016,April,2016, 
Warangal (Rural),1/5/2016,May,2016, 
Warangal (Rural),1/6/2016,June,2016, 
Warangal (Rural),1/7/2016,July,2016, 
Warangal (Rural),1/8/2016,August,2016, 
Warangal (Rural),1/9/2016,September,2016, 
Warangal (Rural),1/10/2016,October,2016,8200
Warangal (Rural),1/11/2016,November,2016,6050
Warangal (Rural),1/12/2016,December,2016,5150
Warangal (Urban),1/1/2016,January,2016,1985815
Warangal (Urban),1/2/2016,February,2016,20703778
Warangal (Urban),1/3/2016,March,2016,568397
Warangal (Urban),1/4/2016,April,2016,317643
Warangal (Urban),1/5/2016,May,2016,373788
Warangal (Urban),1/6/2016,June,2016,365332
Warangal (Urban),1/7/2016,July,2016,340320
Warangal (Urban),1/8/2016,August,2016,368755
Warangal (Urban),1/9/2016,September,2016,379210
Warangal (Urban),1/10/2016,October,2016,128247
Warangal (Urban),1/11/2016,November,2016,129250
Warangal (Urban),1/12/2016,December,2016,127500
Yadadri Bhongir,1/1/2016,January,2016, 
Yadadri Bhongir,1/2/2016,February,2016, 
Yadadri Bhongir,1/3/2016,March,2016, 
Yadadri Bhongir,1/4/2016,April,2016, 
Yadadri Bhongir,1/5/2016,May,2016, 
Yadadri Bhongir,1/6/2016,June,2016, 
Yadadri Bhongir,1/7/2016,July,2016, 
Yadadri Bhongir,1/8/2016,August,2016, 
Yadadri Bhongir,1/9/2016,September,2016, 
Yadadri Bhongir,1/10/2016,October,2016,584800
Yadadri Bhongir,1/11/2016,November,2016,681000
Yadadri Bhongir,1/12/2016,December,2016,462800
